name,position,points,market_value,club
Subotić,Abwehr,35.0,470000.0,1. FC Union Berlin
Parensen,Abwehr,30.0,250000.0,1. FC Union Berlin
Trimmel,Abwehr,110.0,3670000.0,1. FC Union Berlin
Flecker,Mittelfeld,0.0,170000.0,1. FC Union Berlin
Opfermann,Mittelfeld,0.0,170000.0,1. FC Union Berlin
Kade,Mittelfeld,0.0,180000.0,1. FC Union Berlin
Bülter,Mittelfeld,66.0,1370000.0,1. FC Union Berlin
Gentner,Mittelfeld,65.0,1110000.0,1. FC Union Berlin
Ryerson,Mittelfeld,5.0,180000.0,1. FC Union Berlin
Prömel,Mittelfeld,5.0,200000.0,1. FC Union Berlin
Andrich,Mittelfeld,54.0,850000.0,1. FC Union Berlin
Gogia,Mittelfeld,7.0,170000.0,1. FC Union Berlin
Malli,Mittelfeld,8.0,620000.0,1. FC Union Berlin
Schmiedebach,Mittelfeld,0.0,180000.0,1. FC Union Berlin
F. Kroos,Mittelfeld,7.0,170000.0,1. FC Union Berlin
Polter,Sturm,25.0,210000.0,1. FC Union Berlin
S. Becker,Sturm,17.0,190000.0,1. FC Union Berlin
Ingvartsen,Sturm,52.0,780000.0,1. FC Union Berlin
Abdullahi,Sturm,2.0,170000.0,1. FC Union Berlin
S. Andersson,Sturm,118.0,4380000.0,1. FC Union Berlin
Ujah,Sturm,29.0,210000.0,1. FC Union Berlin
